datetime,cash,holding_value,total_value
2024-01-02,600595.48104175,423195.0,1023790.48104175
2024-01-03,643848.1332302501,448590.0,1092438.13323025
2024-01-04,638199.5249738502,438111.0,1076310.5249738502
2024-01-05,1054430.6571979001,0.0,1054430.6571979001
2024-01-08,1054430.6571979001,0.0,1054430.6571979001
2024-01-09,1054430.6571979001,0.0,1054430.6571979001
2024-01-10,634278.6962029001,426816.0,1061094.6962029003
2024-01-11,622660.3338470502,416304.0,1038964.3338470502
2024-01-12,1014285.2374400503,0.0,1014285.2374400503
2024-01-15,608736.0335747504,398898.00000000006,1007634.0335747504
2024-01-16,991384.3259186505,0.0,991384.3259186505
2024-01-17,991384.3259186505,0.0,991384.3259186505
2024-01-18,594810.5045018506,388240.0,983050.5045018506
2024-01-19,985759.8136610506,0.0,985759.8136610506
2024-01-22,985759.8136610506,0.0,985759.8136610506
2024-01-23,985759.8136610506,0.0,985759.8136610506
2024-01-24,985759.8136610506,0.0,985759.8136610506
2024-01-25,985759.8136610506,0.0,985759.8136610506
2024-01-26,594225.0140960506,396032.0,990257.0140960506
2024-01-29,555834.7479991007,381789.0,937623.7479991007
2024-01-30,555978.8416288007,378000.0,933978.8416288007
2024-01-31,569722.9623388008,428254.0,997976.9623388008
2024-02-01,569722.9623388008,385382.0,955104.9623388008
2024-02-02,540334.2776914008,434518.0,974852.2776914008
2024-02-05,540334.2776914008,391181.0,931515.2776914008
2024-02-06,540334.2776914008,352149.0,892483.2776914008
2024-02-07,509053.8595478509,393432.0,902485.8595478509
2024-02-08,895078.1252606509,0.0,895078.1252606509
2024-02-19,542877.9142612008,350237.0,893114.9142612008
2024-02-20,537132.2017949509,362284.0,899416.2017949509
2024-02-21,551536.7413370509,348468.0,900004.7413370509
2024-02-22,902208.229681151,0.0,902208.229681151
2024-02-23,902208.229681151,0.0,902208.229681151
2024-02-26,542110.2824870511,365650.0,907760.2824870511
2024-02-27,570984.1405531012,388289.0,959273.1405531012
2024-02-28,569964.3317251011,356627.99999999994,926592.331725101
2024-02-29,545785.4359376512,388139.0,933924.4359376512
2024-03-01,550437.4191928012,378839.99999999994,929277.4191928012
2024-03-04,950981.9682320512,0.0,950981.9682320512
2024-03-05,572993.2921439513,370852.0,943845.2921439513
2024-03-06,942120.7012114013,0.0,942120.7012114013
2024-03-07,565532.8651933013,364791.0,930323.8651933013
2024-03-08,939843.1629200514,0.0,939843.1629200514
2024-03-11,563990.7679387014,396399.0,960389.7679387014
2024-03-12,941122.3720066014,0.0,941122.3720066014
2024-03-13,565074.8600155014,371382.0,936456.8600155014
2024-03-14,581668.1924680014,375874.0,957542.1924680014
