code,trading_date,open,high,low,close,pre_close,pct,volume,amount,limit_up,limit_down,type,type_name,name,vol_ratio,turn_over,industry,area,float_mv,total_mv,avg_price,free_float_mv,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,signal,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason,trading_date_right,weight_profit,weight_touch_limit_down,weight_consec_loss,weight
SHSE.601016,2021-01-08,3.98,4.26,3.92,4.0,4.1,-2.439,2631557.09,106884.38670000002,4.51,3.69,,,节能风电,0.7,6.33,新型电力,北京,166.22,199.47,4.06,90.37056,false,false,true,断板,断板,断板,3天2板,7.01,3.9159999999999995,3.9159999999999995,-2.9268292682926753,2.145045965270698,4.061640429773083,false,3.46,断板,3.895,1.4851,4.1067886483032,5.263157894736833,1,SHSE.601016,2021-01-08T09:30:00.000000,3.98,2021-01-11T11:30:00.000000,3.86,-3.787863620893308,1.5,未涨停卖出,2021-01-08,-1.5151454483573232,0.4,0.4,0.4
SHSE.601016,2021-01-11,3.9,4.0,3.71,3.74,4.0,-6.5,2443424.95,93925.6371,4.4,3.6,,,节能风电,0.67,5.88,新型电力,北京,155.42,186.5,3.84,84.4964736,false,false,false,,未涨停,未涨停,3天2板,7.01,3.91,3.8866666666666667,-2.500000000000002,-3.773584905660373,3.844015634693425,false,3.46,断板,3.9159999999999995,-2.439,4.061640429773083,2.145045965270698,1,SHSE.601016,2021-01-11T09:30:00.000000,3.9,2021-01-12T11:30:00.000000,3.61,-8.173460006129348,1.5,未涨停卖出,2021-01-11,-3.2693840024517393,0.4,0.4,0.4
SZSE.000718,2021-01-11,4.23,4.82,4.23,4.82,4.38,10.0457,1649437.11,77397.6872,4.82,3.94,,,苏宁环球,1.9,7.21,区域地产,吉林,110.34,146.27,4.69,64.24204936820001,true,false,false,,涨停,5天4板,3天3板,2.686666666666667,4.308,4.155,-3.4246575342465633,16.004813477737663,4.692369701806939,false,3.36,断板,4.022,-2.8825,4.566077565240554,8.901044256588753,1,SZSE.000718,2021-01-11T09:30:00.000000,4.23,2021-01-12T11:30:00.000000,4.47,4.83173688225819,1.5,未涨停卖出,2021-01-11,1.9326947529032763,0.4,0.4,0.4
SHSE.600655,2021-01-12,13.52,14.45,13.35,13.63,13.91,-2.0129,1327474.78,183304.2721,15.3,12.52,,,豫园股份,1.1,8.27,百货,上海,218.8,529.32,13.81,165.79484267740003,false,false,true,断板,断板,断板,5天5板,6.6,13.344,12.465714285714286,-2.8037383177570137,9.339903735961496,13.80849375533899,false,9.78,断板,12.271666666666667,-2.8631,14.506083235603427,13.350536466114358,1,SHSE.600655,2021-01-12T09:30:00.000000,13.52,2021-01-13T11:30:00.000000,14.5,6.393950823923242,1.5,未涨停卖出,2021-01-12,2.557580329569297,0.4,0.4,0.4
SHSE.601908,2021-01-12,12.72,13.94,11.88,13.85,13.06,6.049,1889375.72,243946.1297,14.37,11.75,,,京运通,1.16,9.48,新型电力,北京,276.03,276.03,12.91,122.29813607050002,false,false,true,断板,断板,断板,4天2板,8.559999999999999,13.469999999999999,12.821428571428571,-2.6033690658499222,8.022284122562674,12.911467376112995,false,10.23,断板,12.65,-9.9931,13.493580941291714,3.2411067193675898,1,SHSE.601908,2021-01-12T09:30:00.000000,12.72,2021-01-13T11:30:00.000000,12.95,0.9969555739306826,1.5,未涨停卖出,2021-01-12,0.39878222957227305,0.4,0.4,0.4
SHSE.600655,2021-01-13,13.11,14.93,13.1,14.21,13.63,4.2553,1496374.15,212853.53560000003,14.99,12.27,,,豫园股份,1.03,9.32,百货,上海,228.11,551.85,14.22,172.84994236580002,false,false,false,,未涨停,未涨停,5天5板,8.606666666666667,13.818000000000001,13.098571428571429,-3.8151137197358866,8.485112880357732,14.22461993212059,false,9.78,断板,12.465714285714286,-2.0129,13.80849375533899,9.339903735961496,1,SHSE.600655,2021-01-13T09:30:00.000000,13.11,2021-01-14T11:30:00.000000,13.48,2.00297209332009,1.5,未涨停卖出,2021-01-13,0.801188837328036,0.4,0.4,0.4
SHSE.601908,2021-01-13,13.5,13.82,12.47,12.47,13.85,-9.9639,1677595.31,219285.3536,15.24,12.47,,,京运通,0.97,8.42,新型电力,北京,248.53,248.53,13.07,110.11247341510003,false,false,false,,未涨停,未涨停,4天2板,8.559999999999999,13.416,13.057142857142859,-2.5270758122743655,-4.496717724288847,13.0714095522835,true,10.23,断板,12.821428571428571,6.049,12.911467376112995,8.022284122562674,1,SHSE.601908,2021-01-13T09:30:00.000000,13.5,2021-01-14T09:30:00.000000,12.0,-11.819389110225774,1.0,止损卖出,2021-01-13,-4.72775564409031,0.4,0.4,0.4
SZSE.000718,2021-01-13,4.31,4.47,4.05,4.06,4.49,-9.5768,1325181.98,55550.0012,4.94,4.04,,,苏宁环球,0.96,5.79,区域地产,吉林,92.94,123.21,4.19,54.1125976006,false,false,true,断板,断板,断板,5天4板,3.9666666666666663,4.452,4.298571428571429,-4.008908685968833,-5.550016616816235,4.191877194104315,true,3.36,断板,4.202857142857143,-6.8465,4.435154374122462,6.832087015635627,1,SZSE.000718,2021-01-13T09:30:00.000000,4.31,2021-01-14T11:30:00.000000,3.82,-12.075133341344578,1.5,止损卖出,2021-01-13,-4.830053336537832,0.4,0.4,0.4
SHSE.600189,2021-01-14,16.0,16.62,14.94,14.94,16.6,-10.0,523037.45,81010.63540000001,18.26,14.94,,,泉阳泉,0.72,9.29,软饮料,吉林,84.08,106.85,15.49,43.36231630139999,false,false,true,断板,断板,断板,3天2板,13.015,16.236,15.700000000000001,-3.6144578313253093,-4.840764331210201,15.488496167913025,true,13.61,断板,15.654285714285715,-5.8957,17.168255188403528,6.0412484029932525,1,SHSE.600189,2021-01-14T09:30:00.000000,16.0,2021-01-15T11:30:00.000000,14.5,-10.097111553784853,1.5,止损卖出,2021-01-14,-4.038844621513941,0.4,0.4,0.4
SZSE.002375,2021-01-14,8.03,8.74,8.03,8.39,8.3,1.0843,323387.57,27328.2566,9.13,7.47,,,亚厦股份,1.08,2.43,装修装饰,浙江,111.67,112.43,8.45,52.82633144570001,false,false,false,,未涨停,未涨停,2天2板,1.7000000000000002,8.136,7.744285714285715,-3.2530120481927867,8.337945028592513,8.450620597445969,false,6.58,断板,7.535714285714286,-2.2379,8.349978729479774,10.142180094786742,1,SZSE.002375,2021-01-14T09:30:00.000000,8.03,2021-01-15T11:30:00.000000,8.58,5.997926103803975,1.5,未涨停卖出,2021-01-14,2.39917044152159,0.4,0.4,0.4
SZSE.002466,2021-01-14,57.3,59.14,53.55,54.33,59.5,-8.6891,1547149.12,864052.0048000001,65.45,53.55,,,天齐锂业,0.95,10.5,小金属,四川,800.52,802.51,55.85,517.7469048173999,false,false,true,断板,断板,断板,5天3板,10.223333333333333,55.71,53.26571428571429,-3.6974789915966437,1.9980689803143183,55.84801061710199,true,39.46,断板,51.47571428571428,2.9056,60.10451312361717,15.588488330141823,1,SZSE.002466,2021-01-14T09:30:00.000000,57.3,2021-01-15T11:30:00.000000,54.31,-5.973383951106568,1.5,未涨停卖出,2021-01-14,-2.389353580442627,0.4,0.4,0.4
SZSE.002608,2021-01-14,8.01,8.01,7.49,7.49,8.32,-9.976,323882.3,24670.4598,9.15,7.49,,,江苏国信,1.33,0.86,火力发电,江苏,282.98,282.98,7.62,44.181973801000005,false,false,true,断板,断板,断板,2天2板,0.7899999999999999,7.888,7.688571428571429,-3.7259615384615445,-2.582683017465624,7.617106522956025,true,7.05,断板,7.67,-3.7037,8.670625073469491,8.474576271186447,1,SZSE.002608,2021-01-14T09:30:00.000000,8.01,2021-01-15T09:30:00.000000,7.2,-10.82859572944177,1.0,止损卖出,2021-01-14,-4.331438291776708,0.4,0.4,0.4
SZSE.000301,2021-01-15,12.13,12.45,11.47,11.47,12.74,-9.9686,1903236.82,219369.0942,14.01,11.47,,,东方盛虹,3.2,10.99,化纤,江苏,198.64,554.56,11.53,161.59445784150003,false,false,false,,未涨停,未涨停,5天3板,5.245,12.974,12.592857142857143,-4.788069073783355,-8.916619398752127,11.52610604706565,true,8.98,断板,12.495714285714286,-4.3544,13.16442547306918,1.9549559849091145,1,SZSE.000301,2021-01-15T09:30:00.000000,12.13,2021-01-20T11:30:00.000000,13.82,13.024571130153747,3.5,未涨停卖出,2021-01-15,5.209828452061499,0.4,0.4,0.4
SZSE.002759,2021-01-15,21.0,23.72,19.63,23.1,21.59,6.994,239350.87,51009.758,23.75,19.43,,,天际股份,0.99,5.95,家用电器,广东,92.9,92.9,21.31,39.17996243700001,false,false,false,,未涨停,未涨停,4天2板,4.93,20.794,20.544285714285714,-2.7327466419638715,12.440025033029704,21.31170778698235,false,16.5,炸板,20.03142857142857,4.8058,21.4703940589665,7.780630437883332,1,SZSE.002759,2021-01-15T09:30:00.000000,21.0,2021-01-18T11:30:00.000000,24.06,13.658508821855428,1.5,未涨停卖出,2021-01-15,5.463403528742171,0.4,0.4,0.4
SHSE.601766,2021-01-18,6.96,7.44,6.95,7.28,7.14,1.9608,5341187.8,384891.96630000003,7.85,6.43,,,中国中车,0.85,2.2,运输设备,北京,1771.06,2089.28,7.21,711.2129459344,false,false,true,断板,断板,断板,2天2板,3.13,7.06,6.761428571428572,-2.521008403361341,7.669554193957323,7.206111837146038,false,5.24,断板,6.598571428571428,-6.422,7.348854542359252,8.205239229270411,1,SHSE.601766,2021-01-18T09:30:00.000000,6.96,2021-01-19T11:30:00.000000,7.02,0.058387141090788304,1.5,未涨停卖出,2021-01-18,0.023354856436315324,0.4,0.4,0.4
SHSE.600185,2021-01-19,6.9,7.39,6.63,7.05,7.1,-0.7042,1409327.78,98284.6624,7.81,6.39,,,格力地产,1.03,6.84,区域地产,广东,145.31,145.31,6.97,85.569491325,false,false,false,,未涨停,未涨停,3天3板,4.95,7.086,6.687142857142858,-2.8169014084506943,5.426190984832289,6.973868236670961,false,5.11,断板,6.472857142857143,-5.3333,7.100907277962513,9.688810417126449,1,SHSE.600185,2021-01-19T09:30:00.000000,6.9,2021-01-20T11:30:00.000000,6.99,0.4971418673133434,1.5,未涨停卖出,2021-01-19,0.1988567469253374,0.4,0.4,0.4
